snr_db,f0,f1,frequency_pair,folder,messages_found,messages_expected,passed
-11.39999999999999,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-11.39999999999999,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-11.39999999999999,7000.0,8000.0,7000-8000,7000-8000_speaker,125,125,True
-11.699999999999989,15000.0,16000.0,15000-16000,15000-16000_speaker,124,125,False
-11.699999999999989,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-11.699999999999989,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-11.699999999999989,7000.0,8000.0,7000-8000,7000-8000_speaker,123,125,False
-11.99999999999999,15000.0,16000.0,15000-16000,15000-16000_speaker,121,125,False
-11.99999999999999,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-11.99999999999999,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-11.99999999999999,7000.0,8000.0,7000-8000,7000-8000_speaker,0,125,False
-12.29999999999999,15000.0,16000.0,15000-16000,15000-16000_speaker,66,125,False
-12.29999999999999,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-12.29999999999999,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-12.29999999999999,7000.0,8000.0,7000-8000,7000-8000_speaker,109,125,False
-12.599999999999989,15000.0,16000.0,15000-16000,15000-16000_speaker,122,125,False
-12.599999999999989,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-12.599999999999989,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-12.599999999999989,7000.0,8000.0,7000-8000,7000-8000_speaker,92,125,False
-12.899999999999988,15000.0,16000.0,15000-16000,15000-16000_speaker,0,125,False
-12.899999999999988,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-12.899999999999988,22000.0,23000.0,22000-23000,22000-23000_speaker,124,125,False
-12.899999999999988,7000.0,8000.0,7000-8000,7000-8000_speaker,42,125,False
-13.199999999999989,15000.0,16000.0,15000-16000,15000-16000_speaker,111,125,False
-13.199999999999989,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-13.199999999999989,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-13.199999999999989,7000.0,8000.0,7000-8000,7000-8000_speaker,27,125,False
-13.49999999999999,15000.0,16000.0,15000-16000,15000-16000_speaker,63,125,False
-13.49999999999999,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-13.49999999999999,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-13.49999999999999,7000.0,8000.0,7000-8000,7000-8000_speaker,0,125,False
-13.799999999999988,15000.0,16000.0,15000-16000,15000-16000_speaker,0,125,False
-13.799999999999988,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-13.799999999999988,22000.0,23000.0,22000-23000,22000-23000_speaker,125,125,True
-13.799999999999988,7000.0,8000.0,7000-8000,7000-8000_speaker,13,125,False
-14.099999999999987,15000.0,16000.0,15000-16000,15000-16000_speaker,58,125,False
-14.099999999999987,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-14.099999999999987,22000.0,23000.0,22000-23000,22000-23000_speaker,122,125,False
-14.099999999999987,7000.0,8000.0,7000-8000,7000-8000_speaker,0,125,False
-14.399999999999988,15000.0,16000.0,15000-16000,15000-16000_speaker,0,125,False
-14.399999999999988,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-14.399999999999988,22000.0,23000.0,22000-23000,22000-23000_speaker,124,125,False
-14.399999999999988,7000.0,8000.0,7000-8000,7000-8000_speaker,1,125,False
-14.699999999999989,15000.0,16000.0,15000-16000,15000-16000_speaker,14,125,False
-14.699999999999989,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-14.699999999999989,22000.0,23000.0,22000-23000,22000-23000_speaker,124,125,False
-14.699999999999989,7000.0,8000.0,7000-8000,7000-8000_speaker,0,125,False
-14.999999999999988,15000.0,16000.0,15000-16000,15000-16000_speaker,15,125,False
-14.999999999999988,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-14.999999999999988,22000.0,23000.0,22000-23000,22000-23000_speaker,124,125,False
-14.999999999999988,7000.0,8000.0,7000-8000,7000-8000_speaker,0,125,False
-15.299999999999986,15000.0,16000.0,15000-16000,15000-16000_speaker,0,125,False
-15.299999999999986,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-15.299999999999986,22000.0,23000.0,22000-23000,22000-23000_speaker,123,125,False
-15.299999999999986,7000.0,8000.0,7000-8000,7000-8000_speaker,0,125,False
-15.599999999999987,15000.0,16000.0,15000-16000,15000-16000_speaker,1,125,False
-15.599999999999987,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-15.599999999999987,22000.0,23000.0,22000-23000,22000-23000_speaker,123,125,False
-15.599999999999987,7000.0,8000.0,7000-8000,7000-8000_speaker,0,125,False
-15.899999999999988,15000.0,16000.0,15000-16000,15000-16000_speaker,0,125,False
-15.899999999999988,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-15.899999999999988,22000.0,23000.0,22000-23000,22000-23000_speaker,121,125,False
-15.899999999999988,7000.0,8000.0,7000-8000,7000-8000_speaker,0,125,False
-16.19999999999999,15000.0,16000.0,15000-16000,15000-16000_speaker,0,125,False
-16.19999999999999,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-16.19999999999999,22000.0,23000.0,22000-23000,22000-23000_speaker,117,125,False
-16.19999999999999,7000.0,8000.0,7000-8000,7000-8000_speaker,0,125,False
-16.499999999999986,15000.0,16000.0,15000-16000,15000-16000_speaker,0,125,False
-16.499999999999986,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-16.499999999999986,22000.0,23000.0,22000-23000,22000-23000_speaker,116,125,False
-16.499999999999986,7000.0,8000.0,7000-8000,7000-8000_speaker,0,125,False
-16.799999999999986,15000.0,16000.0,15000-16000,15000-16000_speaker,0,125,False
-16.799999999999986,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-16.799999999999986,22000.0,23000.0,22000-23000,22000-23000_speaker,123,125,False
-16.799999999999986,7000.0,8000.0,7000-8000,7000-8000_speaker,0,125,False
-17.099999999999987,15000.0,16000.0,15000-16000,15000-16000_speaker,0,125,False
-17.099999999999987,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-17.099999999999987,22000.0,23000.0,22000-23000,22000-23000_speaker,0,125,False
-17.099999999999987,7000.0,8000.0,7000-8000,7000-8000_speaker,0,125,False
-17.399999999999984,15000.0,16000.0,15000-16000,15000-16000_speaker,0,125,False
-17.399999999999984,2000.0,3000.0,2000-3000,2000-3000_speaker,0,125,False
-17.399999999999984,22000.0,23000.0,22000-23000,22000-23000_speaker,121,125,False
-17.399999999999984,7000.0,8000.0,7000-8000,7000-8000_speaker,0,125,False
